Length,L,M,S,SD4neg,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3,SD4
99.5,-0.3521,15.0275,0.08177,10.935,11.877,12.818,13.864,15.028,16.328,17.784,19.423,21.061
99.6,-0.3521,15.0546,0.08181,10.953,11.897,12.84,13.888,15.055,16.358,17.818,19.46,21.102
99.7,-0.3521,15.0818,0.08185,10.972,11.917,12.863,13.913,15.082,16.388,17.852,19.498,21.144
99.8,-0.3521,15.109,0.08189,10.99,11.937,12.885,13.937,15.109,16.418,17.885,19.536,21.186
99.9,-0.3521,15.1363,0.08194,11.007,11.957,12.907,13.962,15.136,16.449,17.92,19.574,21.229
100,-0.3521,15.1637,0.08198,11.026,11.978,12.929,13.986,15.164,16.479,17.954,19.612,21.271
100.1,-0.3521,15.1912,0.08202,11.044,11.998,12.952,14.011,15.191,16.51,17.988,19.65,21.313
100.2,-0.3521,15.2187,0.08206,11.062,12.018,12.974,14.036,15.219,16.54,18.022,19.688,21.355
100.3,-0.3521,15.2463,0.08211,11.08,12.038,12.997,14.061,15.246,16.571,18.056,19.727,21.399
100.4,-0.3521,15.274,0.08215,11.099,12.059,13.019,14.086,15.274,16.602,18.091,19.766,21.441
100.5,-0.3521,15.3018,0.0822,11.117,12.079,13.042,14.111,15.302,16.633,18.126,19.805,21.485
100.6,-0.3521,15.3297,0.08224,11.136,12.1,13.065,14.136,15.33,16.664,18.16,19.844,21.528
100.7,-0.3521,15.3576,0.08229,11.154,12.12,13.087,14.161,15.358,16.695,18.195,19.883,21.571
100.8,-0.3521,15.3856,0.08233,11.172,12.141,13.11,14.186,15.386,16.726,18.23,19.922,21.614
100.9,-0.3521,15.4137,0.08238,11.191,12.162,13.133,14.211,15.414,16.758,18.265,19.962,21.658
101,-0.3521,15.4419,0.08243,11.209,12.182,13.155,14.237,15.442,16.789,18.3,20.002,21.703
101.1,-0.3521,15.4701,0.08247,11.228,12.203,13.178,14.262,15.47,16.821,18.335,20.041,21.746
101.2,-0.3521,15.4985,0.08252,11.246,12.224,13.201,14.288,15.498,16.852,18.371,20.081,21.791
101.3,-0.3521,15.5268,0.08257,11.265,12.244,13.224,14.313,15.527,16.884,18.406,20.121,21.835
101.4,-0.3521,15.5553,0.08262,11.283,12.265,13.247,14.339,15.555,16.916,18.442,20.161,21.88
101.5,-0.3521,15.5838,0.08267,11.302,12.286,13.27,14.364,15.584,16.948,18.478,20.201,21.925
101.6,-0.3521,15.6125,0.08272,11.32,12.307,13.293,14.39,15.612,16.98,18.514,20.242,21.97
101.7,-0.3521,15.6412,0.08277,11.339,12.328,13.317,14.416,15.641,17.012,18.55,20.282,22.015
101.8,-0.3521,15.6699,0.08281,11.358,12.349,13.34,14.442,15.67,17.044,18.586,20.322,22.059
101.9,-0.3521,15.6987,0.08287,11.376,12.37,13.363,14.467,15.699,17.076,18.622,20.364,22.105
102,-0.3521,15.7276,0.08292,11.395,12.391,13.386,14.493,15.728,17.108,18.658,20.404,22.15
102.1,-0.3521,15.7566,0.08297,11.414,12.412,13.41,14.519,15.757,17.141,18.695,20.445,22.196
102.2,-0.3521,15.7857,0.08302,11.433,12.433,13.433,14.545,15.786,17.173,18.731,20.487,22.242
102.3,-0.3521,15.8148,0.08307,11.452,12.454,13.457,14.572,15.815,17.206,18.768,20.528,22.288
102.4,-0.3521,15.844,0.08312,11.471,12.476,13.48,14.598,15.844,17.239,18.804,20.569,22.333
102.5,-0.3521,15.8732,0.08317,11.49,12.497,13.504,14.624,15.873,17.271,18.841,20.61,22.379
102.6,-0.3521,15.9026,0.08322,11.509,12.518,13.528,14.65,15.903,17.304,18.878,20.652,22.426
102.7,-0.3521,15.932,0.08328,11.528,12.539,13.551,14.676,15.932,17.337,18.915,20.694,22.473
102.8,-0.3521,15.9615,0.08333,11.547,12.561,13.575,14.703,15.962,17.37,18.952,20.736,22.519
102.9,-0.3521,15.991,0.08338,11.566,12.582,13.599,14.729,15.991,17.403,18.989,20.778,22.566
103,-0.3521,16.0206,0.08343,11.585,12.604,13.623,14.756,16.021,17.436,19.027,20.819,22.612
103.1,-0.3521,16.0503,0.08349,11.604,12.625,13.646,14.782,16.05,17.47,19.064,20.862,22.66
103.2,-0.3521,16.0801,0.08354,11.623,12.647,13.67,14.809,16.08,17.503,19.102,20.904,22.707
103.3,-0.3521,16.1099,0.08359,11.643,12.669,13.694,14.836,16.11,17.536,19.139,20.947,22.754
103.4,-0.3521,16.1398,0.08365,11.662,12.69,13.718,14.863,16.14,17.57,19.177,20.99,22.802
103.5,-0.3521,16.1697,0.0837,11.681,12.712,13.742,14.889,16.17,17.603,19.215,21.032,22.849
103.6,-0.3521,16.1997,0.08376,11.7,12.733,13.766,14.916,16.2,17.637,19.253,21.075,22.897
103.7,-0.3521,16.2298,0.08381,11.72,12.755,13.791,14.943,16.23,17.671,19.291,21.118,22.945
103.8,-0.3521,16.26,0.08386,11.739,12.777,13.815,14.97,16.26,17.705,19.329,21.16,22.992
103.9,-0.3521,16.2902,0.08392,11.758,12.799,13.839,14.997,16.29,17.739,19.367,21.204,23.041
104,-0.3521,16.3204,0.08397,11.778,12.821,13.863,15.024,16.32,17.772,19.405,21.247,23.089
104.1,-0.3521,16.3508,0.08403,11.797,12.842,13.888,15.051,16.351,17.807,19.444,21.291,23.138
104.2,-0.3521,16.3812,0.08408,11.817,12.865,13.912,15.079,16.381,17.841,19.482,21.334,23.186
104.3,-0.3521,16.4117,0.08414,11.836,12.886,13.937,15.106,16.412,17.875,19.521,21.378,23.235
104.4,-0.3521,16.4422,0.08419,11.856,12.909,13.961,15.133,16.442,17.909,19.559,21.421,23.283
104.5,-0.3521,16.4728,0.08425,11.875,12.93,13.985,15.16,16.473,17.944,19.598,21.465,23.332
104.6,-0.3521,16.5035,0.08431,11.895,12.952,14.01,15.188,16.504,17.978,19.637,21.509,23.382
104.7,-0.3521,16.5342,0.08436,11.915,12.975,14.035,15.215,16.534,18.013,19.675,21.553,23.43
104.8,-0.3521,16.565,0.08442,11.934,12.997,14.059,15.243,16.565,18.047,19.715,21.597,23.48
104.9,-0.3521,16.5959,0.08447,11.954,13.019,14.084,15.27,16.596,18.082,19.753,21.641,23.529
105,-0.3521,16.6268,0.08453,11.974,13.041,14.109,15.298,16.627,18.117,19.793,21.686,23.578
105.1,-0.3521,16.6579,0.08458,11.994,13.064,14.134,15.326,16.658,18.151,19.832,21.73,23.628
105.2,-0.3521,16.6889,0.08464,12.013,13.086,14.159,15.353,16.689,18.186,19.871,21.775,23.678
105.3,-0.3521,16.7201,0.0847,12.033,13.108,14.183,15.381,16.72,18.221,19.911,21.82,23.728
105.4,-0.3521,16.7513,0.08475,12.053,13.131,14.209,15.409,16.751,18.256,19.95,21.864,23.777
105.5,-0.3521,16.7826,0.08481,12.073,13.153,14.233,15.437,16.783,18.292,19.99,21.909,23.828
105.6,-0.3521,16.8139,0.08487,12.093,13.176,14.258,15.465,16.814,18.327,20.03,21.954,23.878
105.7,-0.3521,16.8454,0.08493,12.113,13.198,14.283,15.493,16.845,18.362,20.07,22,23.929
105.8,-0.3521,16.8769,0.08498,12.133,13.221,14.309,15.521,16.877,18.398,20.11,22.044,23.979
105.9,-0.3521,16.9084,0.08504,12.153,13.243,14.334,15.549,16.908,18.433,20.15,22.09,24.03
106,-0.3521,16.9401,0.0851,12.173,13.266,14.359,15.578,16.94,18.469,20.19,22.136,24.081
106.1,-0.3521,16.9718,0.08516,12.193,13.289,14.384,15.606,16.972,18.505,20.231,22.182,24.133
106.2,-0.3521,17.0036,0.08521,12.214,13.312,14.41,15.634,17.004,18.54,20.271,22.227,24.183
106.3,-0.3521,17.0355,0.08527,12.234,13.335,14.435,15.663,17.036,18.576,20.311,22.273,24.235
106.4,-0.3521,17.0674,0.08533,12.254,13.357,14.461,15.691,17.067,18.612,20.352,22.319,24.286
106.5,-0.3521,17.0995,0.08539,12.274,13.38,14.486,15.72,17.1,18.648,20.393,22.365,24.338
106.6,-0.3521,17.1316,0.08545,12.294,13.403,14.512,15.748,17.132,18.684,20.434,22.412,24.39
106.7,-0.3521,17.1637,0.08551,12.315,13.426,14.537,15.777,17.164,18.721,20.475,22.458,24.442
106.8,-0.3521,17.196,0.08557,12.335,13.449,14.563,15.806,17.196,18.757,20.516,22.505,24.494
106.9,-0.3521,17.2283,0.08562,12.356,13.473,14.589,15.835,17.228,18.793,20.556,22.551,24.546
107,-0.3521,17.2607,0.08568,12.376,13.496,14.615,15.863,17.261,18.83,20.598,22.598,24.598
107.1,-0.3521,17.2931,0.08574,12.397,13.519,14.641,15.892,17.293,18.866,20.639,22.645,24.651
107.2,-0.3521,17.3256,0.0858,12.417,13.542,14.667,15.921,17.326,18.903,20.68,22.692,24.703
107.3,-0.3521,17.3582,0.08586,12.438,13.565,14.692,15.95,17.358,18.939,20.722,22.739,24.756
107.4,-0.3521,17.3909,0.08592,12.458,13.588,14.718,15.979,17.391,18.976,20.764,22.786,24.809
107.5,-0.3521,17.4237,0.08599,12.479,13.611,14.744,16.008,17.424,19.014,20.806,22.835,24.863
107.6,-0.3521,17.4565,0.08605,12.499,13.635,14.77,16.038,17.456,19.05,20.848,22.882,24.917
107.7,-0.3521,17.4894,0.08611,12.52,13.658,14.797,16.067,17.489,19.088,20.89,22.93,24.97
107.8,-0.3521,17.5224,0.08617,12.541,13.682,14.823,16.096,17.522,19.125,20.932,22.978,25.023
107.9,-0.3521,17.5554,0.08623,12.562,13.705,14.849,16.126,17.555,19.162,20.974,23.025,25.077
108,-0.3521,17.5885,0.08629,12.582,13.729,14.875,16.155,17.588,19.199,21.016,23.073,25.131
108.1,-0.3521,17.6217,0.08635,12.603,13.753,14.902,16.185,17.622,19.237,21.059,23.122,25.185
108.2,-0.3521,17.655,0.08641,12.624,13.776,14.928,16.214,17.655,19.274,21.101,23.17,25.239
108.3,-0.3521,17.6884,0.08648,12.645,13.8,14.954,16.244,17.688,19.312,21.144,23.219,25.294
108.4,-0.3521,17.7218,0.08654,12.666,13.823,14.981,16.274,17.722,19.35,21.187,23.268,25.348
108.5,-0.3521,17.7553,0.0866,12.687,13.847,15.008,16.303,17.755,19.388,21.229,23.316,25.403
108.6,-0.3521,17.7889,0.08666,12.708,13.871,15.034,16.333,17.789,19.425,21.272,23.365,25.457
108.7,-0.3521,17.8226,0.08673,12.729,13.895,15.061,16.363,17.823,19.464,21.316,23.415,25.513
108.8,-0.3521,17.8564,0.08679,12.75,13.919,15.088,16.393,17.856,19.502,21.359,23.464,25.568
108.9,-0.3521,17.8903,0.08685,12.771,13.943,15.115,16.423,17.89,19.54,21.402,23.513,25.623
109,-0.3521,17.9242,0.08691,12.793,13.967,15.142,16.454,17.924,19.578,21.446,23.562,25.678
109.1,-0.3521,17.9583,0.08698,12.814,13.991,15.168,16.484,17.958,19.617,21.49,23.612,25.735
109.2,-0.3521,17.9924,0.08704,12.835,14.015,15.195,16.514,17.992,19.655,21.533,23.662,25.791
109.3,-0.3521,18.0267,0.0871,12.857,14.04,15.223,16.545,18.027,19.694,21.577,23.712,25.846
109.4,-0.3521,18.061,0.08717,12.878,14.064,15.25,16.575,18.061,19.733,21.621,23.762,25.903
109.5,-0.3521,18.0954,0.08723,12.899,14.088,15.277,16.606,18.095,19.772,21.665,23.812,25.959
109.6,-0.3521,18.1299,0.0873,12.92,14.112,15.304,16.636,18.13,19.811,21.71,23.863,26.017
109.7,-0.3521,18.1645,0.08736,12.942,14.137,15.332,16.667,18.164,19.85,21.754,23.913,26.073
109.8,-0.3521,18.1992,0.08742,12.964,14.162,15.359,16.698,18.199,19.889,21.798,23.964,26.129
109.9,-0.3521,18.234,0.08749,12.985,14.186,15.386,16.729,18.234,19.929,21.843,24.015,26.187
110,-0.3521,18.2689,0.08755,13.007,14.211,15.414,16.76,18.269,19.968,21.888,24.066,26.244
