Length,L,M,S,SD4neg,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3,SD4
83.3,-0.3833,10.8108,0.08907,7.666,8.383,9.1,9.904,10.811,11.836,13.001,14.331,15.661
83.4,-0.3833,10.8343,0.08907,7.682,8.401,9.119,9.926,10.834,11.862,13.03,14.363,15.695
83.5,-0.3833,10.8578,0.08906,7.699,8.419,9.139,9.947,10.858,11.888,13.058,14.393,15.729
83.6,-0.3833,10.8814,0.08905,7.716,8.438,9.159,9.969,10.881,11.913,13.086,14.424,15.762
83.7,-0.3833,10.9051,0.08905,7.733,8.456,9.179,9.991,10.905,11.939,13.114,14.455,15.797
83.8,-0.3833,10.9289,0.08904,7.75,8.475,9.199,10.013,10.929,11.965,13.143,14.486,15.83
83.9,-0.3833,10.9527,0.08903,7.767,8.493,9.22,10.035,10.953,11.991,13.171,14.518,15.864
84,-0.3833,10.9767,0.08903,7.784,8.512,9.24,10.057,10.977,12.017,13.2,14.549,15.899
84.1,-0.3833,11.0007,0.08902,7.802,8.531,9.26,10.079,11.001,12.044,13.228,14.581,15.933
84.2,-0.3833,11.0248,0.08902,7.819,8.55,9.281,10.101,11.025,12.07,13.257,14.613,15.968
84.3,-0.3833,11.0489,0.08901,7.836,8.569,9.301,10.123,11.049,12.096,13.286,14.644,16.002
84.4,-0.3833,11.0731,0.08901,7.853,8.587,9.321,10.145,11.073,12.123,13.315,14.676,16.037
84.5,-0.3833,11.0974,0.089,7.871,8.606,9.342,10.167,11.097,12.149,13.344,14.708,16.072
84.6,-0.3833,11.1218,0.089,7.888,8.625,9.363,10.19,11.122,12.176,13.373,14.74,16.107
84.7,-0.3833,11.1462,0.08899,7.906,8.644,9.383,10.212,11.146,12.203,13.402,14.772,16.142
84.8,-0.3833,11.1707,0.08899,7.923,8.663,9.404,10.235,11.171,12.229,13.432,14.805,16.177
84.9,-0.3833,11.1952,0.08899,7.94,8.682,9.425,10.257,11.195,12.256,13.461,14.837,16.213
85,-0.3833,11.2198,0.08898,7.958,8.702,9.445,10.28,11.22,12.283,13.491,14.869,16.248
85.1,-0.3833,11.2444,0.08898,7.976,8.721,9.466,10.302,11.244,12.31,13.52,14.902,16.283
85.2,-0.3833,11.2691,0.08897,7.993,8.74,9.487,10.325,11.269,12.337,13.55,14.934,16.318
85.3,-0.3833,11.2939,0.08897,8.011,8.76,9.508,10.348,11.294,12.364,13.58,14.967,16.354
85.4,-0.3833,11.3187,0.08897,8.029,8.779,9.529,10.371,11.319,12.391,13.609,15,16.39
85.5,-0.3833,11.3435,0.08897,8.046,8.798,9.55,10.393,11.344,12.418,13.639,15.033,16.426
85.6,-0.3833,11.3684,0.08896,8.064,8.818,9.571,10.416,11.368,12.445,13.669,15.065,16.461
85.7,-0.3833,11.3934,0.08896,8.082,8.837,9.592,10.439,11.393,12.473,13.699,15.098,16.497
85.8,-0.3833,11.4183,0.08896,8.1,8.856,9.613,10.462,11.418,12.5,13.729,15.131,16.534
