Height,L,M,S,SD4neg,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3,SD4
89.4,-0.3833,12.4971,0.08906,8.862,9.69,10.519,11.449,12.497,13.682,15.029,16.566,18.103
89.5,-0.3833,12.522,0.08907,8.879,9.709,10.54,11.472,12.522,13.71,15.059,16.6,18.14
89.6,-0.3833,12.5468,0.08908,8.896,9.728,10.561,11.495,12.547,13.737,15.09,16.633,18.177
89.7,-0.3833,12.5717,0.08909,8.913,9.747,10.581,11.517,12.572,13.765,15.12,16.667,18.214
89.8,-0.3833,12.5965,0.08909,8.931,9.767,10.602,11.54,12.596,13.792,15.15,16.7,18.25
89.9,-0.3833,12.6213,0.0891,8.948,9.786,10.623,11.563,12.621,13.819,15.18,16.733,18.287
90,-0.3833,12.6461,0.08911,8.966,9.805,10.644,11.585,12.646,13.846,15.21,16.767,18.323
90.1,-0.3833,12.6709,0.08912,8.983,9.824,10.664,11.608,12.671,13.874,15.24,16.8,18.36
90.2,-0.3833,12.6957,0.08912,9,9.843,10.685,11.631,12.696,13.901,15.27,16.833,18.396
90.3,-0.3833,12.7205,0.08913,9.018,9.862,10.706,11.653,12.72,13.928,15.3,16.866,18.433
90.4,-0.3833,12.7453,0.08914,9.035,9.881,10.726,11.676,12.745,13.955,15.33,16.9,18.469
90.5,-0.3833,12.77,0.08915,9.052,9.9,10.747,11.698,12.77,13.983,15.36,16.933,18.506
90.6,-0.3833,12.7948,0.08916,9.069,9.918,10.768,11.721,12.795,14.01,15.39,16.967,18.543
90.7,-0.3833,12.8196,0.08917,9.087,9.937,10.788,11.743,12.82,14.037,15.421,17,18.58
90.8,-0.3833,12.8443,0.08918,9.104,9.956,10.809,11.766,12.844,14.064,15.451,17.033,18.616
90.9,-0.3833,12.8691,0.08919,9.121,9.975,10.83,11.789,12.869,14.092,15.481,17.067,18.653
91,-0.3833,12.8939,0.0892,9.138,9.994,10.85,11.811,12.894,14.119,15.511,17.1,18.69
91.1,-0.3833,12.9186,0.08921,9.155,10.013,10.871,11.834,12.919,14.146,15.541,17.134,18.726
91.2,-0.3833,12.9434,0.08922,9.173,10.032,10.892,11.856,12.943,14.173,15.571,17.167,18.763
91.3,-0.3833,12.9681,0.08923,9.19,10.051,10.912,11.879,12.968,14.201,15.601,17.2,18.8
91.4,-0.3833,12.9929,0.08924,9.207,10.07,10.933,11.901,12.993,14.228,15.631,17.234,18.836
91.5,-0.3833,13.0177,0.08925,9.224,10.089,10.953,11.924,13.018,14.255,15.662,17.267,18.873
91.6,-0.3833,13.0424,0.08926,9.241,10.108,10.974,11.947,13.042,14.282,15.692,17.301,18.91
91.7,-0.3833,13.0672,0.08927,9.259,10.127,10.995,11.969,13.067,14.31,15.722,17.334,18.947
91.8,-0.3833,13.092,0.08928,9.276,10.146,11.015,11.992,13.092,14.337,15.752,17.368,18.983
91.9,-0.3833,13.1167,0.0893,9.293,10.164,11.036,12.014,13.117,14.364,15.782,17.402,19.021
92,-0.3833,13.1415,0.08931,9.31,10.183,11.056,12.037,13.142,14.392,15.813,17.435,19.058
92.1,-0.3833,13.1663,0.08932,9.327,10.202,11.077,12.059,13.166,14.419,15.843,17.469,19.094
92.2,-0.3833,13.1911,0.08933,9.344,10.221,11.098,12.082,13.191,14.446,15.873,17.502,19.131
92.3,-0.3833,13.2158,0.08934,9.361,10.24,11.118,12.104,13.216,14.473,15.903,17.535,19.168
92.4,-0.3833,13.2406,0.08936,9.378,10.258,11.139,12.127,13.241,14.501,15.934,17.569,19.205
92.5,-0.3833,13.2654,0.08937,9.396,10.277,11.159,12.149,13.265,14.528,15.964,17.603,19.242
92.6,-0.3833,13.2902,0.08938,9.413,10.296,11.18,12.172,13.29,14.556,15.994,17.636,19.279
92.7,-0.3833,13.3151,0.0894,9.43,10.315,11.201,12.195,13.315,14.583,16.025,17.671,19.317
92.8,-0.3833,13.3399,0.08941,9.447,10.334,11.221,12.217,13.34,14.61,16.055,17.704,19.354
92.9,-0.3833,13.3647,0.08942,9.464,10.353,11.242,12.24,13.365,14.638,16.085,17.738,19.391
93,-0.3833,13.3896,0.08944,9.481,10.372,11.262,12.262,13.39,14.665,16.116,17.772,19.428
93.1,-0.3833,13.4145,0.08945,9.498,10.391,11.283,12.285,13.414,14.693,16.146,17.806,19.465
93.2,-0.3833,13.4394,0.08947,9.515,10.409,11.304,12.308,13.439,14.72,16.177,17.84,19.503
93.3,-0.3833,13.4643,0.08948,9.532,10.428,11.324,12.33,13.464,14.748,16.207,17.873,19.54
93.4,-0.3833,13.4892,0.08949,9.55,10.447,11.345,12.353,13.489,14.775,16.237,17.907,19.577
93.5,-0.3833,13.5142,0.08951,9.567,10.466,11.366,12.376,13.514,14.803,16.268,17.942,19.615
93.6,-0.3833,13.5391,0.08952,9.584,10.485,11.386,12.398,13.539,14.83,16.298,17.975,19.652
93.7,-0.3833,13.5641,0.08954,9.601,10.504,11.407,12.421,13.564,14.858,16.329,18.01,19.69
93.8,-0.3833,13.5892,0.08955,9.618,10.523,11.428,12.444,13.589,14.886,16.36,18.044,19.727
93.9,-0.3833,13.6142,0.08957,9.635,10.542,11.448,12.467,13.614,14.913,16.39,18.078,19.765
94,-0.3833,13.6393,0.08959,9.652,10.561,11.469,12.489,13.639,14.941,16.421,18.112,19.804
94.1,-0.3833,13.6644,0.0896,9.67,10.58,11.49,12.512,13.664,14.969,16.452,18.146,19.841
94.2,-0.3833,13.6895,0.08962,9.687,10.599,11.511,12.535,13.69,14.997,16.483,18.181,19.879
94.3,-0.3833,13.7146,0.08963,9.704,10.618,11.532,12.558,13.715,15.024,16.513,18.215,19.916
94.4,-0.3833,13.7398,0.08965,9.721,10.637,11.552,12.581,13.74,15.052,16.545,18.25,19.955
94.5,-0.3833,13.765,0.08967,9.738,10.656,11.573,12.603,13.765,15.08,16.576,18.284,19.993
94.6,-0.3833,13.7902,0.08968,9.756,10.675,11.594,12.626,13.79,15.108,16.606,18.318,20.03
94.7,-0.3833,13.8155,0.0897,9.773,10.694,11.615,12.649,13.816,15.136,16.637,18.353,20.069
94.8,-0.3833,13.8408,0.08972,9.79,10.713,11.636,12.672,13.841,15.164,16.669,18.388,20.107
94.9,-0.3833,13.8661,0.08974,9.807,10.732,11.657,12.695,13.866,15.192,16.7,18.423,20.146
95,-0.3833,13.8914,0.08975,9.825,10.751,11.678,12.718,13.891,15.22,16.731,18.457,20.184
95.1,-0.3833,13.9168,0.08977,9.842,10.77,11.699,12.741,13.917,15.248,16.762,18.492,20.222
95.2,-0.3833,13.9422,0.08979,9.859,10.789,11.719,12.764,13.942,15.276,16.793,18.527,20.261
95.3,-0.3833,13.9676,0.08981,9.877,10.809,11.74,12.787,13.968,15.304,16.825,18.562,20.3
95.4,-0.3833,13.9931,0.08983,9.894,10.828,11.761,12.81,13.993,15.333,16.856,18.597,20.338
95.5,-0.3833,14.0186,0.08984,9.912,10.847,11.783,12.833,14.019,15.361,16.887,18.632,20.376
95.6,-0.3833,14.0441,0.08986,9.929,10.866,11.804,12.857,14.044,15.389,16.919,18.667,20.415
95.7,-0.3833,14.0697,0.08988,9.946,10.885,11.825,12.88,14.07,15.417,16.95,18.702,20.454
95.8,-0.3833,14.0953,0.0899,9.964,10.905,11.846,12.903,14.095,15.446,16.982,18.737,20.493
95.9,-0.3833,14.1209,0.08992,9.981,10.924,11.867,12.926,14.121,15.474,17.013,18.773,20.532
96,-0.3833,14.1466,0.08994,9.998,10.943,11.888,12.949,14.147,15.502,17.045,18.808,20.571
96.1,-0.3833,14.1724,0.08996,10.016,10.963,11.909,12.973,14.172,15.531,17.077,18.844,20.611
96.2,-0.3833,14.1981,0.08998,10.033,10.982,11.93,12.996,14.198,15.56,17.109,18.879,20.65
96.3,-0.3833,14.2239,0.09,10.051,11.001,11.952,13.019,14.224,15.588,17.14,18.915,20.689
96.4,-0.3833,14.2498,0.09002,10.068,11.021,11.973,13.043,14.25,15.617,17.172,18.95,20.729
96.5,-0.3833,14.2757,0.09004,10.086,11.04,11.994,13.066,14.276,15.646,17.204,18.986,20.768
96.6,-0.3833,14.3016,0.09006,10.103,11.059,12.015,13.09,14.302,15.674,17.236,19.022,20.808
96.7,-0.3833,14.3276,0.09008,10.121,11.079,12.037,13.113,14.328,15.703,17.268,19.058,20.847
96.8,-0.3833,14.3537,0.0901,10.139,11.099,12.058,13.137,14.354,15.732,17.3,19.094,20.887
96.9,-0.3833,14.3798,0.09012,10.156,11.118,12.08,13.161,14.38,15.761,17.333,19.13,20.927
97,-0.3833,14.4059,0.09015,10.174,11.137,12.101,13.184,14.406,15.79,17.365,19.166,20.967
97.1,-0.3833,14.4321,0.09017,10.191,11.157,12.123,13.208,14.432,15.819,17.398,19.203,21.007
97.2,-0.3833,14.4584,0.09019,10.209,11.177,12.144,13.232,14.458,15.848,17.43,19.239,21.048
97.3,-0.3833,14.4848,0.09021,10.227,11.197,12.166,13.256,14.485,15.878,17.463,19.275,21.088
97.4,-0.3833,14.5112,0.09023,10.245,11.216,12.188,13.279,14.511,15.907,17.495,19.312,21.128
97.5,-0.3833,14.5376,0.09026,10.262,11.236,12.209,13.303,14.538,15.936,17.528,19.349,21.169
97.6,-0.3833,14.5642,0.09028,10.28,11.256,12.231,13.327,14.564,15.966,17.561,19.385,21.21
97.7,-0.3833,14.5908,0.0903,10.298,11.276,12.253,13.351,14.591,15.995,17.594,19.422,21.25
97.8,-0.3833,14.6174,0.09033,10.316,11.295,12.275,13.375,14.617,16.025,17.627,19.459,21.292
97.9,-0.3833,14.6442,0.09035,10.334,11.315,12.297,13.4,14.644,16.055,17.66,19.496,21.333
98,-0.3833,14.671,0.09037,10.352,11.336,12.319,13.424,14.671,16.084,17.693,19.533,21.374
98.1,-0.3833,14.6979,0.0904,10.37,11.355,12.341,13.448,14.698,16.114,17.727,19.571,21.416
98.2,-0.3833,14.7248,0.09042,10.388,11.376,12.363,13.472,14.725,16.144,17.76,19.608,21.457
98.3,-0.3833,14.7519,0.09044,10.407,11.396,12.385,13.497,14.752,16.174,17.793,19.646,21.498
98.4,-0.3833,14.779,0.09047,10.425,11.416,12.407,13.521,14.779,16.204,17.827,19.684,21.54
98.5,-0.3833,14.8062,0.09049,10.443,11.436,12.429,13.546,14.806,16.235,17.861,19.721,21.582
98.6,-0.3833,14.8334,0.09052,10.461,11.456,12.452,13.57,14.833,16.265,17.895,19.76,21.624
98.7,-0.3833,14.8608,0.09054,10.48,11.477,12.474,13.595,14.861,16.295,17.929,19.797,21.666
98.8,-0.3833,14.8882,0.09057,10.498,11.497,12.496,13.62,14.888,16.326,17.963,19.836,21.709
98.9,-0.3833,14.9157,0.09059,10.516,11.518,12.519,13.645,14.916,16.356,17.997,19.874,21.751
99,-0.3833,14.9434,0.09062,10.535,11.538,12.542,13.67,14.943,16.387,18.031,19.913,21.794
99.1,-0.3833,14.9711,0.09064,10.554,11.559,12.564,13.695,14.971,16.418,18.066,19.951,21.837
99.2,-0.3833,14.9989,0.09067,10.572,11.579,12.587,13.72,14.999,16.449,18.1,19.99,21.88
99.3,-0.3833,15.0267,0.09069,10.591,11.6,12.61,13.745,15.027,16.48,18.135,20.028,21.922
99.4,-0.3833,15.0547,0.09072,10.609,11.621,12.633,13.77,15.055,16.511,18.17,20.068,21.966
99.5,-0.3833,15.0828,0.09075,10.628,11.642,12.655,13.796,15.083,16.542,18.205,20.107,22.01
99.6,-0.3833,15.1109,0.09077,10.647,11.663,12.679,13.821,15.111,16.573,18.239,20.146,22.053
99.7,-0.3833,15.1392,0.0908,10.666,11.684,12.702,13.846,15.139,16.605,18.275,20.186,22.097
99.8,-0.3833,15.1676,0.09083,10.684,11.705,12.725,13.872,15.168,16.637,18.31,20.226,22.141
99.9,-0.3833,15.196,0.09085,10.704,11.726,12.748,13.898,15.196,16.668,18.345,20.265,22.185
100,-0.3833,15.2246,0.09088,10.723,11.747,12.771,13.924,15.225,16.7,18.381,20.305,22.229
100.1,-0.3833,15.2532,0.09091,10.742,11.768,12.795,13.949,15.253,16.732,18.417,20.345,22.274
100.2,-0.3833,15.2819,0.09093,10.761,11.79,12.818,13.975,15.282,16.764,18.452,20.385,22.318
100.3,-0.3833,15.3108,0.09096,10.78,11.811,12.842,14.001,15.311,16.796,18.488,20.426,22.363
100.4,-0.3833,15.3397,0.09099,10.799,11.832,12.865,14.027,15.34,16.828,18.524,20.466,22.408
100.5,-0.3833,15.3687,0.09102,10.818,11.854,12.889,14.053,15.369,16.861,18.561,20.507,22.453
100.6,-0.3833,15.3979,0.09105,10.838,11.875,12.913,14.08,15.398,16.893,18.597,20.548,22.499
100.7,-0.3833,15.4271,0.09107,10.858,11.897,12.937,14.106,15.427,16.926,18.633,20.588,22.544
100.8,-0.3833,15.4564,0.0911,10.877,11.919,12.96,14.133,15.456,16.958,18.67,20.63,22.589
100.9,-0.3833,15.4858,0.09113,10.896,11.94,12.984,14.159,15.486,16.991,18.706,20.671,22.635
101,-0.3833,15.5154,0.09116,10.916,11.962,13.008,14.186,15.515,17.024,18.743,20.712,22.682
101.1,-0.3833,15.545,0.09119,10.936,11.984,13.033,14.212,15.545,17.057,18.78,20.754,22.728
101.2,-0.3833,15.5747,0.09122,10.955,12.006,13.057,14.239,15.575,17.09,18.817,20.796,22.774
101.3,-0.3833,15.6046,0.09125,10.975,12.028,13.081,14.266,15.605,17.123,18.855,20.838,22.821
101.4,-0.3833,15.6345,0.09128,10.995,12.05,13.105,14.293,15.634,17.157,18.892,20.88,22.868
101.5,-0.3833,15.6646,0.09131,11.015,12.072,13.13,14.32,15.665,17.19,18.93,20.922,22.915
101.6,-0.3833,15.6947,0.09133,11.035,12.095,13.155,14.347,15.695,17.224,18.967,20.964,22.961
101.7,-0.3833,15.725,0.09136,11.055,12.117,13.179,14.374,15.725,17.258,19.005,21.006,23.008
101.8,-0.3833,15.7553,0.09139,11.075,12.14,13.204,14.402,15.755,17.291,19.043,21.049,23.055
101.9,-0.3833,15.7858,0.09142,11.096,12.162,13.229,14.429,15.786,17.325,19.081,21.092,23.103
102,-0.3833,15.8164,0.09146,11.115,12.184,13.253,14.457,15.816,17.36,19.119,21.136,23.152
102.1,-0.3833,15.847,0.09149,11.136,12.207,13.278,14.484,15.847,17.394,19.157,21.179,23.2
102.2,-0.3833,15.8778,0.09152,11.156,12.23,13.303,14.512,15.878,17.428,19.196,21.222,23.248
102.3,-0.3833,15.9087,0.09155,11.177,12.253,13.329,14.54,15.909,17.463,19.235,21.265,23.296
102.4,-0.3833,15.9396,0.09158,11.197,12.275,13.354,14.568,15.94,17.497,19.273,21.309,23.344
102.5,-0.3833,15.9707,0.09161,11.218,12.298,13.379,14.596,15.971,17.532,19.312,21.352,23.393
102.6,-0.3833,16.0019,0.09164,11.238,12.321,13.404,14.624,16.002,17.567,19.351,21.396,23.442
102.7,-0.3833,16.0332,0.09167,11.259,12.344,13.43,14.652,16.033,17.601,19.39,21.44,23.491
102.8,-0.3833,16.0645,0.0917,11.28,12.367,13.455,14.68,16.064,17.636,19.429,21.484,23.539
102.9,-0.3833,16.096,0.09173,11.301,12.391,13.481,14.708,16.096,17.671,19.469,21.529,23.589
103,-0.3833,16.1276,0.09177,11.321,12.414,13.506,14.737,16.128,17.707,19.508,21.574,23.639
103.1,-0.3833,16.1593,0.0918,11.342,12.437,13.532,14.765,16.159,17.742,19.548,21.618,23.689
103.2,-0.3833,16.191,0.09183,11.363,12.46,13.558,14.794,16.191,17.778,19.588,21.663,23.738
103.3,-0.3833,16.2229,0.09186,11.384,12.484,13.584,14.822,16.223,17.813,19.628,21.708,23.788
103.4,-0.3833,16.2549,0.0919,11.405,12.507,13.61,14.851,16.255,17.849,19.668,21.754,23.839
103.5,-0.3833,16.287,0.09193,11.426,12.531,13.636,14.88,16.287,17.885,19.708,21.799,23.889
103.6,-0.3833,16.3191,0.09196,11.447,12.555,13.662,14.909,16.319,17.921,19.748,21.844,23.94
103.7,-0.3833,16.3514,0.09199,11.469,12.578,13.688,14.938,16.351,17.957,19.789,21.889,23.99
103.8,-0.3833,16.3837,0.09203,11.49,12.602,13.714,14.967,16.384,17.993,19.829,21.935,24.042
103.9,-0.3833,16.4162,0.09206,11.511,12.626,13.741,14.996,16.416,18.029,19.87,21.981,24.092
104,-0.3833,16.4488,0.09209,11.533,12.65,13.767,15.026,16.449,18.066,19.911,22.027,24.143
104.1,-0.3833,16.4814,0.09213,11.554,12.674,13.793,15.055,16.481,18.102,19.952,22.074,24.196
104.2,-0.3833,16.5142,0.09216,11.576,12.698,13.82,15.084,16.514,18.139,19.993,22.12,24.247
104.3,-0.3833,16.547,0.09219,11.597,12.722,13.847,15.114,16.547,18.175,20.034,22.166,24.298
104.4,-0.3833,16.58,0.09223,11.619,12.746,13.873,15.143,16.58,18.212,20.076,22.213,24.351
104.5,-0.3833,16.6131,0.09226,11.641,12.77,13.9,15.173,16.613,18.249,20.117,22.26,24.403
104.6,-0.3833,16.6462,0.09229,11.663,12.795,13.927,15.203,16.646,18.286,20.158,22.306,24.454
104.7,-0.3833,16.6795,0.09233,11.684,12.819,13.954,15.233,16.68,18.323,20.2,22.354,24.508
104.8,-0.3833,16.7129,0.09236,11.706,12.844,13.981,15.263,16.713,18.361,20.242,22.401,24.56
104.9,-0.3833,16.7464,0.0924,11.728,12.868,14.008,15.293,16.746,18.398,20.284,22.449,24.613
105,-0.3833,16.78,0.09243,11.75,12.893,14.035,15.323,16.78,18.436,20.326,22.496,24.666
105.1,-0.3833,16.8137,0.09247,11.772,12.917,14.063,15.353,16.814,18.474,20.369,22.544,24.72
105.2,-0.3833,16.8475,0.0925,11.794,12.942,14.09,15.384,16.848,18.511,20.411,22.592,24.773
105.3,-0.3833,16.8814,0.09254,11.816,12.967,14.117,15.414,16.881,18.549,20.454,22.641,24.827
105.4,-0.3833,16.9154,0.09257,11.839,12.992,14.145,15.445,16.915,18.587,20.497,22.688,24.88
105.5,-0.3833,16.9496,0.09261,11.861,13.017,14.173,15.475,16.95,18.626,20.54,22.737,24.935
105.6,-0.3833,16.9838,0.09264,11.884,13.042,14.2,15.506,16.984,18.664,20.583,22.786,24.988
105.7,-0.3833,17.0182,0.09268,11.906,13.067,14.228,15.537,17.018,18.702,20.626,22.835,25.043
105.8,-0.3833,17.0527,0.09271,11.929,13.092,14.256,15.568,17.053,18.741,20.669,22.883,25.097
105.9,-0.3833,17.0873,0.09275,11.951,13.117,14.284,15.599,17.087,18.78,20.713,22.933,25.153
106,-0.3833,17.122,0.09278,11.974,13.143,14.312,15.63,17.122,18.818,20.756,22.982,25.207
106.1,-0.3833,17.1569,0.09282,11.997,13.168,14.34,15.661,17.157,18.858,20.8,23.032,25.263
106.2,-0.3833,17.1918,0.09286,12.019,13.194,14.368,15.693,17.192,18.897,20.845,23.082,25.319
106.3,-0.3833,17.2269,0.09289,12.042,13.22,14.397,15.724,17.227,18.936,20.888,23.131,25.374
106.4,-0.3833,17.262,0.09293,12.065,13.245,14.425,15.756,17.262,18.975,20.933,23.181,25.43
106.5,-0.3833,17.2973,0.09296,12.089,13.271,14.454,15.787,17.297,19.015,20.977,23.231,25.485
106.6,-0.3833,17.3327,0.093,12.111,13.297,14.482,15.819,17.333,19.054,21.022,23.282,25.542
106.7,-0.3833,17.3683,0.09304,12.135,13.323,14.511,15.851,17.368,19.094,21.067,23.333,25.599
106.8,-0.3833,17.4039,0.09307,12.158,13.349,14.54,15.883,17.404,19.134,21.111,23.383,25.654
106.9,-0.3833,17.4397,0.09311,12.181,13.375,14.569,15.915,17.44,19.174,21.157,23.434,25.712
107,-0.3833,17.4755,0.09315,12.204,13.401,14.598,15.947,17.476,19.214,21.202,23.485,25.769
107.1,-0.3833,17.5115,0.09318,12.228,13.427,14.627,15.979,17.512,19.254,21.247,23.536,25.825
107.2,-0.3833,17.5476,0.09322,12.252,13.454,14.656,16.012,17.548,19.295,21.292,23.588,25.883
107.3,-0.3833,17.5839,0.09326,12.275,13.48,14.685,16.044,17.584,19.336,21.338,23.64,25.941
107.4,-0.3833,17.6202,0.09329,12.299,13.507,14.715,16.077,17.62,19.376,21.384,23.691,25.998
107.5,-0.3833,17.6567,0.09333,12.323,13.533,14.744,16.11,17.657,19.417,21.43,23.743,26.057
107.6,-0.3833,17.6932,0.09337,12.346,13.56,14.773,16.142,17.693,19.458,21.476,23.796,26.115
107.7,-0.3833,17.7299,0.09341,12.37,13.586,14.803,16.175,17.73,19.499,21.523,23.848,26.174
107.8,-0.3833,17.7668,0.09344,12.394,13.614,14.833,16.208,17.767,19.54,21.569,23.9,26.232
107.9,-0.3833,17.8037,0.09348,12.418,13.64,14.863,16.241,17.804,19.582,21.615,23.953,26.291
108,-0.3833,17.8407,0.09352,12.442,13.667,14.892,16.275,17.841,19.623,21.662,24.006,26.35
108.1,-0.3833,17.8779,0.09356,12.466,13.694,14.922,16.308,17.878,19.665,21.709,24.059,26.409
108.2,-0.3833,17.9152,0.09359,12.491,13.722,14.953,16.341,17.915,19.707,21.756,24.112,26.468
108.3,-0.3833,17.9526,0.09363,12.515,13.749,14.983,16.375,17.953,19.749,21.803,24.166,26.528
108.4,-0.3833,17.9901,0.09367,12.54,13.776,15.013,16.408,17.99,19.791,21.851,24.219,26.588
108.5,-0.3833,18.0277,0.09371,12.564,13.803,15.043,16.442,18.028,19.833,21.898,24.273,26.648
108.6,-0.3833,18.0654,0.09375,12.588,13.831,15.073,16.476,18.065,19.875,21.946,24.327,26.709
108.7,-0.3833,18.1033,0.09378,12.613,13.859,15.104,16.51,18.103,19.918,21.993,24.381,26.768
108.8,-0.3833,18.1412,0.09382,12.638,13.886,15.135,16.544,18.141,19.96,22.041,24.435,26.829
108.9,-0.3833,18.1792,0.09386,12.662,13.914,15.165,16.578,18.179,20.003,22.089,24.489,26.89
109,-0.3833,18.2174,0.0939,12.687,13.942,15.196,16.612,18.217,20.046,22.138,24.544,26.951
109.1,-0.3833,18.2556,0.09394,12.712,13.969,15.227,16.646,18.256,20.088,22.186,24.599,27.012
109.2,-0.3833,18.294,0.09397,12.737,13.998,15.258,16.681,18.294,20.131,22.234,24.653,27.072
109.3,-0.3833,18.3324,0.09401,12.762,14.025,15.289,16.715,18.332,20.174,22.283,24.708,27.134
109.4,-0.3833,18.371,0.09405,12.787,14.053,15.32,16.75,18.371,20.218,22.332,24.764,27.196
109.5,-0.3833,18.4096,0.09409,12.812,14.081,15.351,16.784,18.41,20.261,22.38,24.819,27.258
109.6,-0.3833,18.4484,0.09413,12.837,14.11,15.382,16.819,18.448,20.305,22.429,24.875,27.32
109.7,-0.3833,18.4872,0.09417,12.862,14.138,15.413,16.854,18.487,20.348,22.479,24.93,27.382
109.8,-0.3833,18.5262,0.09421,12.887,14.166,15.445,16.889,18.526,20.392,22.528,24.986,27.445
109.9,-0.3833,18.5652,0.09424,12.913,14.195,15.476,16.924,18.565,20.435,22.577,25.041,27.506
110,-0.3833,18.6043,0.09428,12.938,14.223,15.508,16.959,18.604,20.479,22.626,25.098,27.569
110.1,-0.3833,18.6436,0.09432,12.964,14.251,15.539,16.994,18.644,20.523,22.676,25.154,27.632
110.2,-0.3833,18.6829,0.09436,12.989,14.28,15.571,17.029,18.683,20.568,22.726,25.21,27.695
110.3,-0.3833,18.7223,0.0944,13.015,14.309,15.603,17.064,18.722,20.612,22.776,25.267,27.758
110.4,-0.3833,18.7618,0.09444,13.04,14.337,15.634,17.1,18.762,20.656,22.826,25.324,27.822
110.5,-0.3833,18.8015,0.09448,13.066,14.366,15.666,17.135,18.802,20.701,22.876,25.381,27.885
110.6,-0.3833,18.8412,0.09452,13.091,14.395,15.698,17.171,18.841,20.745,22.926,25.438,27.949
110.7,-0.3833,18.8809,0.09456,13.117,14.424,15.73,17.206,18.881,20.79,22.977,25.495,28.013
110.8,-0.3833,18.9208,0.0946,13.143,14.452,15.762,17.242,18.921,20.835,23.027,25.552,28.077
110.9,-0.3833,18.9608,0.09464,13.169,14.481,15.794,17.278,18.961,20.88,23.078,25.61,28.141
111,-0.3833,19.0009,0.09467,13.195,14.511,15.827,17.314,19.001,20.924,23.128,25.666,28.204
111.1,-0.3833,19.041,0.09471,13.221,14.54,15.859,17.349,19.041,20.969,23.179,25.724,28.269
111.2,-0.3833,19.0812,0.09475,13.247,14.569,15.891,17.385,19.081,21.015,23.23,25.782,28.333
111.3,-0.3833,19.1215,0.09479,13.273,14.598,15.924,17.421,19.122,21.06,23.281,25.84,28.398
111.4,-0.3833,19.1619,0.09483,13.299,14.627,15.956,17.458,19.162,21.105,23.332,25.898,28.463
111.5,-0.3833,19.2024,0.09487,13.325,14.657,15.989,17.494,19.202,21.151,23.383,25.956,28.528
111.6,-0.3833,19.243,0.09491,13.351,14.686,16.021,17.53,19.243,21.196,23.435,26.014,28.594
111.7,-0.3833,19.2836,0.09495,13.377,14.716,16.054,17.566,19.284,21.242,23.486,26.073,28.659
111.8,-0.3833,19.3243,0.09499,13.404,14.745,16.087,17.603,19.324,21.288,23.538,26.131,28.725
111.9,-0.3833,19.3651,0.09503,13.43,14.775,16.119,17.639,19.365,21.333,23.59,26.19,28.79
112,-0.3833,19.406,0.09507,13.456,14.804,16.152,17.676,19.406,21.379,23.642,26.249,28.856
112.1,-0.3833,19.447,0.09511,13.483,14.834,16.185,17.713,19.447,21.425,23.694,26.308,28.922
112.2,-0.3833,19.488,0.09515,13.509,14.864,16.218,17.749,19.488,21.472,23.746,26.367,28.988
112.3,-0.3833,19.5291,0.09519,13.536,14.893,16.251,17.786,19.529,21.518,23.798,26.426,29.054
112.4,-0.3833,19.5703,0.09523,13.562,14.923,16.284,17.823,19.57,21.564,23.85,26.485,29.121
112.5,-0.3833,19.6116,0.09527,13.589,14.953,16.317,17.86,19.612,21.61,23.902,26.545,29.187
112.6,-0.3833,19.6529,0.09531,13.615,14.983,16.35,17.897,19.653,21.657,23.955,26.604,29.254
112.7,-0.3833,19.6943,0.09534,13.643,15.013,16.384,17.934,19.694,21.703,24.007,26.663,29.319
112.8,-0.3833,19.7358,0.09538,13.669,15.043,16.417,17.971,19.736,21.75,24.059,26.723,29.386
112.9,-0.3833,19.7774,0.09542,13.696,15.073,16.451,18.008,19.777,21.796,24.112,26.783,29.453
113,-0.3833,19.819,0.09546,13.723,15.103,16.484,18.045,19.819,21.843,24.165,26.843,29.52
113.1,-0.3833,19.8607,0.0955,13.75,15.133,16.517,18.083,19.861,21.89,24.218,26.903,29.588
113.2,-0.3833,19.9024,0.09554,13.776,15.164,16.551,18.12,19.902,21.937,24.271,26.963,29.655
113.3,-0.3833,19.9442,0.09558,13.803,15.194,16.584,18.157,19.944,21.984,24.324,27.023,29.722
113.4,-0.3833,19.9861,0.09562,13.83,15.224,16.618,18.195,19.986,22.031,24.377,27.084,29.79
113.5,-0.3833,20.028,0.09566,13.857,15.254,16.652,18.232,20.028,22.078,24.43,27.144,29.858
113.6,-0.3833,20.07,0.0957,13.884,15.285,16.685,18.27,20.07,22.125,24.484,27.205,29.925
113.7,-0.3833,20.112,0.09574,13.911,15.315,16.719,18.307,20.112,22.173,24.537,27.265,29.993
113.8,-0.3833,20.1541,0.09578,13.938,15.345,16.753,18.345,20.154,22.22,24.591,27.326,30.061
113.9,-0.3833,20.1963,0.09582,13.965,15.376,16.786,18.382,20.196,22.267,24.644,27.387,30.13
114,-0.3833,20.2385,0.09586,13.992,15.406,16.82,18.42,20.238,22.315,24.698,27.448,30.198
114.1,-0.3833,20.2807,0.0959,14.02,15.437,16.854,18.458,20.281,22.362,24.751,27.509,30.266
114.2,-0.3833,20.323,0.09594,14.047,15.467,16.888,18.496,20.323,22.41,24.805,27.57,30.334
114.3,-0.3833,20.3653,0.09598,14.074,15.498,16.922,18.533,20.365,22.457,24.859,27.631,30.403
