Height,L,M,S,SD4neg,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3,SD4
70.6,-0.3833,8.4273,0.09052,5.943,6.509,7.074,7.71,8.427,9.241,10.167,11.226,12.285
70.7,-0.3833,8.4474,0.09051,5.958,6.524,7.091,7.728,8.447,9.263,10.191,11.252,12.314
70.8,-0.3833,8.4676,0.0905,5.972,6.54,7.108,7.747,8.468,9.285,10.215,11.279,12.343
70.9,-0.3833,8.4877,0.09048,5.987,6.556,7.125,7.765,8.488,9.306,10.239,11.305,12.371
71,-0.3833,8.5078,0.09047,6.001,6.572,7.142,7.784,8.508,9.328,10.263,11.331,12.4
71.1,-0.3833,8.5278,0.09046,6.016,6.587,7.159,7.802,8.528,9.35,10.286,11.358,12.429
71.2,-0.3833,8.5479,0.09045,6.03,6.603,7.176,7.821,8.548,9.372,10.311,11.384,12.457
71.3,-0.3833,8.5679,0.09043,6.044,6.619,7.193,7.839,8.568,9.394,10.334,11.41,12.486
71.4,-0.3833,8.5879,0.09042,6.059,6.635,7.21,7.857,8.588,9.416,10.358,11.436,12.514
71.5,-0.3833,8.6078,0.09041,6.073,6.65,7.227,7.876,8.608,9.437,10.382,11.462,12.543
71.6,-0.3833,8.6277,0.0904,6.087,6.666,7.244,7.894,8.628,9.459,10.406,11.488,12.571
71.7,-0.3833,8.6476,0.09039,6.102,6.681,7.261,7.912,8.648,9.481,10.429,11.514,12.6
71.8,-0.3833,8.6674,0.09037,6.116,6.697,7.278,7.931,8.667,9.502,10.453,11.54,12.627
71.9,-0.3833,8.6872,0.09036,6.13,6.712,7.294,7.949,8.687,9.524,10.477,11.566,12.656
72,-0.3833,8.707,0.09035,6.144,6.728,7.311,7.967,8.707,9.546,10.5,11.592,12.684
72.1,-0.3833,8.7267,0.09034,6.159,6.743,7.328,7.985,8.727,9.567,10.524,11.618,12.712
72.2,-0.3833,8.7464,0.09032,6.173,6.759,7.345,8.003,8.746,9.588,10.547,11.643,12.74
72.3,-0.3833,8.7661,0.09031,6.187,6.774,7.361,8.021,8.766,9.61,10.571,11.669,12.768
72.4,-0.3833,8.7857,0.0903,6.201,6.79,7.378,8.039,8.786,9.631,10.594,11.695,12.796
72.5,-0.3833,8.8053,0.09028,6.215,6.805,7.395,8.057,8.805,9.653,10.617,11.72,12.823
72.6,-0.3833,8.8248,0.09027,6.229,6.82,7.411,8.075,8.825,9.674,10.64,11.746,12.851
72.7,-0.3833,8.8443,0.09026,6.243,6.836,7.428,8.093,8.844,9.695,10.664,11.771,12.879
72.8,-0.3833,8.8638,0.09025,6.257,6.851,7.444,8.111,8.864,9.716,10.687,11.797,12.907
72.9,-0.3833,8.8831,0.09023,6.272,6.866,7.461,8.129,8.883,9.737,10.71,11.822,12.934
73,-0.3833,8.9025,0.09022,6.285,6.881,7.477,8.147,8.902,9.759,10.733,11.847,12.961
73.1,-0.3833,8.9217,0.09021,6.299,6.896,7.493,8.165,8.922,9.78,10.756,11.872,12.989
73.2,-0.3833,8.941,0.0902,6.313,6.911,7.51,8.182,8.941,9.801,10.779,11.898,13.016
73.3,-0.3833,8.9601,0.09018,6.327,6.927,7.526,8.2,8.96,9.821,10.801,11.922,13.043
73.4,-0.3833,8.9792,0.09017,6.341,6.942,7.542,8.217,8.979,9.842,10.824,11.947,13.07
73.5,-0.3833,8.9983,0.09016,6.354,6.957,7.559,8.235,8.998,9.863,10.847,11.972,13.097
73.6,-0.3833,9.0173,0.09014,6.368,6.972,7.575,8.253,9.017,9.884,10.869,11.997,13.124
